Chromosome/scaffold name,Strand,Transcript start (bp),Transcript end (bp),5' UTR end,3' UTR start,Gene stable ID,Gene name,Transcript stable ID,Protein stable ID
I,1,90868,91753,,,SPNCRNA.139,SPNCRNA.139,SPNCRNA.139.1,
III,1,170771,173539,,,SPNCRNA.458,SPNCRNA.458,SPNCRNA.458.1,
MT,1,14756,15529,,,SPMIT.07,atp6,SPMIT.07.1,SPMIT.07.1:pep
II,-1,180994,181064,,,SPBTRNAGLY.03,SPBTRNAGLY.03,SPBTRNAGLY.03.1,
I,-1,120321,123785,123785,120321,SPAC11D3.08c,SPAC11D3.08c,SPAC11D3.08c.1,SPAC11D3.08c.1:pep
MT,1,15661,15735,,,SPMITTRNAPRO.01,SPMITTRNAPRO.01,SPMITTRNAPRO.01.1,
II,-1,201348,201812,,,SPNCRNA.1326,SPNCRNA.1326,SPNCRNA.1326.1,
MT,1,16662,16734,,,SPMITTRNAILE.01,SPMITTRNAILE.01,SPMITTRNAILE.01.1,
II,1,209756,211172,209801,,SPBC660.08,SPBC660.08,SPBC660.08.1,SPBC660.08.1:pep
II,1,209756,211172,,,SPBC660.08,SPBC660.08,SPBC660.08.1,SPBC660.08.1:pep
MT,1,17460,17532,,,SPMITTRNAARG.02,SPMITTRNAARG.02,SPMITTRNAARG.02.1,
III,-1,196513,199449,199449,,SPCC1235.10c,sec6,SPCC1235.10c.1,SPCC1235.10c.1:pep
III,-1,196513,199449,,,SPCC1235.10c,sec6,SPCC1235.10c.1,SPCC1235.10c.1:pep
III,-1,196513,199449,,,SPCC1235.10c,sec6,SPCC1235.10c.1,SPCC1235.10c.1:pep
III,-1,196513,199449,,,SPCC1235.10c,sec6,SPCC1235.10c.1,SPCC1235.10c.1:pep
III,-1,196513,199449,,196513,SPCC1235.10c,sec6,SPCC1235.10c.1,SPCC1235.10c.1:pep
MT,1,3060,3130,,,SPMITTRNAASN.01,SPMITTRNAASN.01,SPMITTRNAASN.01.1,
MT,1,5291,6445,,,SPMIT.02,SPMIT.02,SPMIT.02.1,SPMIT.02.1:pep
MT,1,17635,17716,,,SPMITTRNASER.02,SPMITTRNASER.02,SPMITTRNASER.02.1,
I,1,136139,140365,136330,140285,SPAC11D3.15,SPAC11D3.15,SPAC11D3.15.1,SPAC11D3.15.1:pep
MT,1,4591,4665,,,SPMITTRNAMET.01,SPMITTRNAMET.01,SPMITTRNAMET.01.1,
II,1,212375,214899,,,SPBC660.10,SPBC660.10,SPBC660.10.1,SPBC660.10.1:pep
II,1,212375,214899,,,SPBC660.10,SPBC660.10,SPBC660.10.1,SPBC660.10.1:pep
MT,1,8947,9765,,,SPMIT.04,cox3,SPMIT.04.1,SPMIT.04.1:pep
II,1,227372,227760,,,SPNCRNA.62,prl62,SPNCRNA.62.1,
I,-1,146871,148041,,,SPNCRNA.612,SPAC5H10.01-antisense-1,SPNCRNA.612.1,
MT,1,9920,9992,,,SPMITTRNATHR.01,SPMITTRNATHR.01,SPMITTRNATHR.01.1,
III,1,215297,217099,215423,,SPCC1235.15,dga1,SPCC1235.15.1,SPCC1235.15.1:pep
III,1,215297,217099,,,SPCC1235.15,dga1,SPCC1235.15.1,SPCC1235.15.1:pep
III,1,215297,217099,,,SPCC1235.15,dga1,SPCC1235.15.1,SPCC1235.15.1:pep
III,1,215297,217099,,216911,SPCC1235.15,dga1,SPCC1235.15.1,SPCC1235.15.1:pep
MT,1,14159,14230,,,SPMITTRNAPHE.01,SPMITTRNAPHE.01,SPMITTRNAPHE.01.1,
I,1,166583,167280,,,SPNCRNA.616,SPAC5H10.12c-antisense-1,SPNCRNA.616.1,
MT,1,14314,14385,,,SPMITTRNAGLY.01,SPMITTRNAGLY.01,SPMITTRNAGLY.01.1,
III,-1,219185,220283,,,SPCC548.02c,wtf3,SPCC548.02c.1,
III,-1,219185,220283,,,SPCC548.02c,wtf3,SPCC548.02c.1,
III,-1,219185,220283,,,SPCC548.02c,wtf3,SPCC548.02c.1,
III,-1,219185,220283,,,SPCC548.02c,wtf3,SPCC548.02c.1,
III,-1,219185,220283,,,SPCC548.02c,wtf3,SPCC548.02c.1,
III,1,226130,226215,,,SPNCRNA.460,SPNCRNA.460,SPNCRNA.460.1,
MT,1,6966,7718,,,SPMIT.03,SPMIT.03,SPMIT.03.1,SPMIT.03.1:pep
MT,1,10857,13280,,,SPMIT.06,SPMIT.06,SPMIT.06.1,SPMIT.06.1:pep
II,1,230269,233218,230367,,SPBC660.16,SPBC660.16,SPBC660.16.1,SPBC660.16.1:pep
II,1,230269,233218,,,SPBC660.16,SPBC660.16,SPBC660.16.1,SPBC660.16.1:pep
II,1,230269,233218,,,SPBC660.16,SPBC660.16,SPBC660.16.1,SPBC660.16.1:pep
II,1,230269,233218,,,SPBC660.16,SPBC660.16,SPBC660.16.1,SPBC660.16.1:pep
II,1,230269,233218,,233062,SPBC660.16,SPBC660.16,SPBC660.16.1,SPBC660.16.1:pep
III,-1,232288,235289,235289,232288,SPCC548.07c,ght1,SPCC548.07c.1,SPCC548.07c.1:pep
III,1,236660,239381,237553,,SPCC1529.01,SPCC1529.01,SPCC1529.01.1,SPCC1529.01.1:pep
III,1,236660,239381,,,SPCC1529.01,SPCC1529.01,SPCC1529.01.1,SPCC1529.01.1:pep
III,1,236660,239381,,,SPCC1529.01,SPCC1529.01,SPCC1529.01.1,SPCC1529.01.1:pep
III,1,236660,239381,,,SPCC1529.01,SPCC1529.01,SPCC1529.01.1,SPCC1529.01.1:pep
III,1,236660,239381,,239251,SPCC1529.01,SPCC1529.01,SPCC1529.01.1,SPCC1529.01.1:pep
I,-1,167766,170137,170137,167766,SPAC5H10.13c,gmh2,SPAC5H10.13c.1,SPAC5H10.13c.1:pep
MT,1,15954,16637,,,SPMIT.08,var1,SPMIT.08.1,SPMIT.08.1:pep
MT,1,16914,17060,,,SPMIT.09,atp8,SPMIT.09.1,SPMIT.09.1:pep
III,1,245844,247871,245963,247629,SPCC794.03,SPCC794.03,SPCC794.03.1,SPCC794.03.1:pep
MT,1,17257,17342,,,SPMITTRNATYR.01,SPMITTRNATYR.01,SPMITTRNATYR.01.1,
III,1,258116,258797,,,SPNCRNA.1122,SPNCRNA.1122,SPNCRNA.1122.1,
II,1,245469,247128,245717,,SPBC31E1.04,pep12,SPBC31E1.04.1,SPBC31E1.04.1:pep
II,1,245469,247128,,246640,SPBC31E1.04,pep12,SPBC31E1.04.1,SPBC31E1.04.1:pep
MT,1,14081,14153,,,SPMITTRNAMET.02,SPMITTRNAMET.02,SPMITTRNAMET.02.1,
III,1,313035,314226,313182,314044,SPCC736.02,SPCC736.02,SPCC736.02.1,SPCC736.02.1:pep
MT,1,14238,14308,,,SPMITTRNAASP.01,SPMITTRNAASP.01,SPMITTRNAASP.01.1,
I,1,175890,180028,177291,179569,SPAC13G6.03,gpi7,SPAC13G6.03.1,SPAC13G6.03.1:pep
III,1,320394,322403,320607,,SPCC736.05,wtf7,SPCC736.05.1,SPCC736.05.1:pep
III,1,320394,322403,,,SPCC736.05,wtf7,SPCC736.05.1,SPCC736.05.1:pep
III,1,320394,322403,,321524,SPCC736.05,wtf7,SPCC736.05.1,SPCC736.05.1:pep
MT,1,14394,14476,,,SPMITTRNALEU.01,SPMITTRNALEU.01,SPMITTRNALEU.01.1,
III,-1,331228,331300,,,SPCTRNAPHE.04,SPCTRNAPHE.04,SPCTRNAPHE.04.1,
MT,1,18057,18129,,,SPMITTRNAALA.01,SPMITTRNAALA.01,SPMITTRNAALA.01.1,
III,1,332008,332546,,,SPNCRNA.1131,mrps8-antisense-1,SPNCRNA.1131.1,
II,1,247207,248977,247260,,SPBC31E1.05,gle1,SPBC31E1.05.1,SPBC31E1.05.1:pep
II,1,247207,248977,,248754,SPBC31E1.05,gle1,SPBC31E1.05.1,SPBC31E1.05.1:pep
I,-1,208839,211275,211275,208839,SPAC24B11.07c,SPAC24B11.07c,SPAC24B11.07c.1,SPAC24B11.07c.1:pep
III,1,334103,337070,334136,,SPCC736.11,ago1,SPCC736.11.1,SPCC736.11.1:pep
III,1,334103,337070,,337013,SPCC736.11,ago1,SPCC736.11.1,SPCC736.11.1:pep
II,1,249041,252682,249086,,SPBC31E1.06,bms1,SPBC31E1.06.1,SPBC31E1.06.1:pep
II,1,249041,252682,,252500,SPBC31E1.06,bms1,SPBC31E1.06.1,SPBC31E1.06.1:pep
I,-1,218260,221562,221562,218260,SPAC24B11.10c,cfh1,SPAC24B11.10c.1,SPAC24B11.10c.1:pep
I,-1,237023,237885,237885,237023,SPAC806.11,SPAC806.11,SPAC806.11.1,SPAC806.11.1:pep
II,1,253148,253984,,,SPBC800.02,whi5,SPBC800.02.1,SPBC800.02.1:pep
II,1,253148,253984,,,SPBC800.02,whi5,SPBC800.02.1,SPBC800.02.1:pep
III,-1,340648,342096,342096,340648,SPCC736.13,SPCC736.13,SPCC736.13.1,SPCC736.13.1:pep
III,-1,378099,381034,,,SPCC1682.05c,srp68,SPCC1682.05c.1,SPCC1682.05c.1:pep
III,-1,378099,381034,,,SPCC1682.05c,srp68,SPCC1682.05c.1,SPCC1682.05c.1:pep
III,-1,378099,381034,,,SPCC1682.05c,srp68,SPCC1682.05c.1,SPCC1682.05c.1:pep
III,-1,378099,381034,,378189,SPCC1682.05c,srp68,SPCC1682.05c.1,SPCC1682.05c.1:pep
III,-1,378099,381034,,378099,SPCC1682.05c,srp68,SPCC1682.05c.1,SPCC1682.05c.1:pep
I,-1,244206,247074,247074,244206,SPAC806.06c,SPAC806.06c,SPAC806.06c.1,SPAC806.06c.1:pep
III,-1,384095,385033,,,SPNCRNA.1135,ssl1-antisense-1,SPNCRNA.1135.1,
II,1,267459,269408,267489,,SPBC800.09,sum2,SPBC800.09.1,SPBC800.09.1:pep
II,1,267459,269408,,,SPBC800.09,sum2,SPBC800.09.1,SPBC800.09.1:pep
II,1,267459,269408,,,SPBC800.09,sum2,SPBC800.09.1,SPBC800.09.1:pep
II,1,267459,269408,,268955,SPBC800.09,sum2,SPBC800.09.1,SPBC800.09.1:pep
I,1,244214,247574,244730,245109,SPAC806.05,SPAC806.05,SPAC806.05.1,SPAC806.05.1:pep
I,1,244214,247574,,247491,SPAC806.05,SPAC806.05,SPAC806.05.1,SPAC806.05.1:pep
III,1,384170,386047,384472,,SPCC1682.07,ssl1,SPCC1682.07.1,SPCC1682.07.1:pep
III,1,384170,386047,,385869,SPCC1682.07,ssl1,SPCC1682.07.1,SPCC1682.07.1:pep
III,-1,386020,388386,388386,386020,SPCC1682.08c,mcp2,SPCC1682.08c.1,SPCC1682.08c.1:pep
II,1,279321,281247,279663,281104,SPBC800.13,cnp20,SPBC800.13.1,SPBC800.13.1:pep
I,-1,251173,254600,254600,,SPAC1639.01c,SPAC1639.01c,SPAC1639.01c.1,SPAC1639.01c.1:pep
I,-1,251173,254600,,,SPAC1639.01c,SPAC1639.01c,SPAC1639.01c.1,SPAC1639.01c.1:pep
I,-1,251173,254600,,251173,SPAC1639.01c,SPAC1639.01c,SPAC1639.01c.1,SPAC1639.01c.1:pep
III,1,390674,392092,390746,,SPCC1682.10,rpn8,SPCC1682.10.1,SPCC1682.10.1:pep
III,1,390674,392092,,391766,SPCC1682.10,rpn8,SPCC1682.10.1,SPCC1682.10.1:pep
II,1,281440,283779,281628,,SPBC1773.01,far8,SPBC1773.01.1,SPBC1773.01.1:pep
II,1,281440,283779,,,SPBC1773.01,far8,SPBC1773.01.1,SPBC1773.01.1:pep
II,1,281440,283779,,283549,SPBC1773.01,far8,SPBC1773.01.1,SPBC1773.01.1:pep
III,-1,409354,412109,412109,409354,SPCC306.03c,cnd2,SPCC306.03c.1,SPCC306.03c.1:pep
II,-1,287590,288017,,,SPNCRNA.300,SPNCRNA.300,SPNCRNA.300.1,
I,1,259603,271053,259718,,SPAC1F5.11c,tra2,SPAC1F5.11c.1,SPAC1F5.11c.1:pep
I,1,259603,271053,,270748,SPAC1F5.11c,tra2,SPAC1F5.11c.1,SPAC1F5.11c.1:pep
II,1,297389,299135,,,SPNCRNA.1337,omh4-antisense-1,SPNCRNA.1337.1,
III,1,445088,446630,445403,446052,SPCC4G3.13c,cue1,SPCC4G3.13c.1,SPCC4G3.13c.1:pep
I,-1,294591,299154,299154,294591,SPAC18B11.11,SPAC18B11.11,SPAC18B11.11.1,SPAC18B11.11.1:pep
II,-1,341909,344384,344384,,SPBC1271.12,kes1,SPBC1271.12.1,SPBC1271.12.1:pep
II,-1,341909,344384,,,SPBC1271.12,kes1,SPBC1271.12.1,SPBC1271.12.1:pep
II,-1,341909,344384,,,SPBC1271.12,kes1,SPBC1271.12.1,SPBC1271.12.1:pep
II,-1,341909,344384,,,SPBC1271.12,kes1,SPBC1271.12.1,SPBC1271.12.1:pep
II,-1,341909,344384,,,SPBC1271.12,kes1,SPBC1271.12.1,SPBC1271.12.1:pep
II,-1,341909,344384,,,SPBC1271.12,kes1,SPBC1271.12.1,SPBC1271.12.1:pep
II,-1,341909,344384,,342145,SPBC1271.12,kes1,SPBC1271.12.1,SPBC1271.12.1:pep
II,-1,341909,344384,,341909,SPBC1271.12,kes1,SPBC1271.12.1,SPBC1271.12.1:pep
II,1,354031,355573,,,SPNCRNA.1343,SPNCRNA.1343,SPNCRNA.1343.1,
I,1,315394,317585,315706,317198,SPAC12G12.16c,SPAC12G12.16c,SPAC12G12.16c.1,SPAC12G12.16c.1:pep
III,-1,457709,459466,459466,457709,SPCC4G3.08,psk1,SPCC4G3.08.1,SPCC4G3.08.1:pep
II,1,355980,358079,356909,357333,SPBC1271.08c,SPBC1271.08c,SPBC1271.08c.1,SPBC1271.08c.1:pep
I,1,317718,319171,,,SPNCRNA.637,sif3-antisense-1,SPNCRNA.637.1,
II,-1,359391,359866,,,SPNCRNA.1346,SPNCRNA.1346,SPNCRNA.1346.1,
II,1,359903,360366,,360344,SPBC1271.06c,mug96,SPBC1271.06c.1,SPBC1271.06c.1:pep
III,-1,468323,469915,469915,,SPCC4G3.02,aph1,SPCC4G3.02.1,SPCC4G3.02.1:pep
III,-1,468323,469915,,,SPCC4G3.02,aph1,SPCC4G3.02.1,SPCC4G3.02.1:pep
III,-1,468323,469915,,,SPCC4G3.02,aph1,SPCC4G3.02.1,SPCC4G3.02.1:pep
III,-1,468323,469915,,468323,SPCC4G3.02,aph1,SPCC4G3.02.1,SPCC4G3.02.1:pep
II,1,367192,368573,367278,,SPBC1271.03c,SPBC1271.03c,SPBC1271.03c.1,SPBC1271.03c.1:pep
II,1,367192,368573,367593,368329,SPBC1271.03c,SPBC1271.03c,SPBC1271.03c.1,SPBC1271.03c.1:pep
I,-1,329810,332816,332816,,SPAC12G12.09,eti1,SPAC12G12.09.1,SPAC12G12.09.1:pep
III,-1,484820,486386,486386,,SPCC364.01,cif1,SPCC364.01.1,SPCC364.01.1:pep
III,-1,484820,486386,,484820,SPCC364.01,cif1,SPCC364.01.1,SPCC364.01.1:pep
II,-1,368439,370940,370940,,SPBC1271.02,stt3,SPBC1271.02.1,SPBC1271.02.1:pep
II,-1,368439,370940,,368439,SPBC1271.02,stt3,SPBC1271.02.1,SPBC1271.02.1:pep
III,1,489829,493167,490067,,SPCC970.10c,brl2,SPCC970.10c.1,SPCC970.10c.1:pep
III,1,489829,493167,,492175,SPCC970.10c,brl2,SPCC970.10c.1,SPCC970.10c.1:pep
II,1,388954,390296,,,SPNCRNA.1352,SPNCRNA.1352,SPNCRNA.1352.1,
I,1,336308,338157,336427,337520,SPAC12G12.06c,rcl1,SPAC12G12.06c.1,SPAC12G12.06c.1:pep
III,-1,496118,499892,499892,496118,SPCC970.08,SPCC970.08,SPCC970.08.1,SPCC970.08.1:pep
II,-1,410720,412795,412795,410720,SPBC106.17c,cys2,SPBC106.17c.1,SPBC106.17c.1:pep
I,1,338286,339763,338391,338884,SPAC12G12.05c,taf9,SPAC12G12.05c.1,SPAC12G12.05c.1:pep
II,-1,436090,439017,439017,,SPBC582.10c,SPBC582.10c,SPBC582.10c.1,SPBC582.10c.1:pep
II,-1,436090,439017,,436090,SPBC582.10c,SPBC582.10c,SPBC582.10c.1,SPBC582.10c.1:pep
III,1,500743,502880,500858,502770,SPCC970.07c,raf2,SPCC970.07c.1,SPCC970.07c.1:pep
II,1,547325,547761,,,SPNCRNA.66,prl66,SPNCRNA.66.1,
III,-1,502927,504777,504777,502927,SPCC970.06,SPCC970.06,SPCC970.06.1,SPCC970.06.1:pep
II,1,548382,550229,548669,549813,SPBC354.03,swd3,SPBC354.03.1,SPBC354.03.1:pep
III,1,537298,539922,537325,539855,SPCP31B10.07,eft202,SPCP31B10.07.1,SPCP31B10.07.1:pep
I,1,350406,352296,350476,,SPAC630.03,arp3,SPAC630.03.1,SPAC630.03.1:pep
I,1,350406,352296,,,SPAC630.03,arp3,SPAC630.03.1,SPAC630.03.1:pep
I,1,350406,352296,,,SPAC630.03,arp3,SPAC630.03.1,SPAC630.03.1:pep
I,1,350406,352296,,,SPAC630.03,arp3,SPAC630.03.1,SPAC630.03.1:pep
I,1,350406,352296,,352056,SPAC630.03,arp3,SPAC630.03.1,SPAC630.03.1:pep
II,1,554749,557248,555892,,SPBC354.06,mrps16,SPBC354.06.1,SPBC354.06.1:pep
II,1,554749,557248,,,SPBC354.06,mrps16,SPBC354.06.1,SPBC354.06.1:pep
II,1,554749,557248,,556879,SPBC354.06,mrps16,SPBC354.06.1,SPBC354.06.1:pep
III,-1,565688,568197,568197,565688,SPCC1672.03c,gud1,SPCC1672.03c.1,SPCC1672.03c.1:pep
II,-1,557827,560416,560416,,SPBC354.07c,SPBC354.07c,SPBC354.07c.1,SPBC354.07c.1:pep
II,-1,557827,560416,,,SPBC354.07c,SPBC354.07c,SPBC354.07c.1,SPBC354.07c.1:pep
II,-1,557827,560416,,,SPBC354.07c,SPBC354.07c,SPBC354.07c.1,SPBC354.07c.1:pep
II,-1,557827,560416,,,SPBC354.07c,SPBC354.07c,SPBC354.07c.1,SPBC354.07c.1:pep
II,-1,557827,560416,,557827,SPBC354.07c,SPBC354.07c,SPBC354.07c.1,SPBC354.07c.1:pep
I,-1,357325,359228,359228,357325,SPAC630.07c,SPAC630.07c,SPAC630.07c.1,SPAC630.07c.1:pep
II,1,561072,562378,,,SPNCRNA.1371,SPBC354.08c-antisense-1,SPNCRNA.1371.1,
III,1,591763,595029,591851,,SPCC1183.01,sec15,SPCC1183.01.1,SPCC1183.01.1:pep
III,1,591763,595029,,,SPCC1183.01,sec15,SPCC1183.01.1,SPCC1183.01.1:pep
III,1,591763,595029,,,SPCC1183.01,sec15,SPCC1183.01.1,SPCC1183.01.1:pep
III,1,591763,595029,,,SPCC1183.01,sec15,SPCC1183.01.1,SPCC1183.01.1:pep
III,1,591763,595029,,,SPCC1183.01,sec15,SPCC1183.01.1,SPCC1183.01.1:pep
III,1,591763,595029,,594436,SPCC1183.01,sec15,SPCC1183.01.1,SPCC1183.01.1:pep
II,-1,574658,578723,578723,574658,SPBC354.11c,SPBC354.11c,SPBC354.11c.1,SPBC354.11c.1:pep
I,1,383580,385433,384319,,SPAC1751.04,loc1,SPAC1751.04.1,SPAC1751.04.1:pep
I,1,383580,385433,,,SPAC1751.04,loc1,SPAC1751.04.1,SPAC1751.04.1:pep
I,1,383580,385433,,,SPAC1751.04,loc1,SPAC1751.04.1,SPAC1751.04.1:pep
I,1,383580,385433,,385221,SPAC1751.04,loc1,SPAC1751.04.1,SPAC1751.04.1:pep
III,1,606262,611786,606336,611410,SPCC1183.07,rrp5,SPCC1183.07.1,SPCC1183.07.1:pep
II,1,581098,583861,581246,583449,SPBC354.13,rga6,SPBC354.13.1,SPBC354.13.1:pep
I,-1,402719,405389,405389,,SPAC31A2.09c,apm4,SPAC31A2.09c.1,SPAC31A2.09c.1:pep
I,-1,402719,405389,,,SPAC31A2.09c,apm4,SPAC31A2.09c.1,SPAC31A2.09c.1:pep
I,-1,402719,405389,,402719,SPAC31A2.09c,apm4,SPAC31A2.09c.1,SPAC31A2.09c.1:pep
III,1,643347,649578,643811,,SPCC5E4.04,cut1,SPCC5E4.04.1,SPCC5E4.04.1:pep
III,1,643347,649578,,,SPCC5E4.04,cut1,SPCC5E4.04.1,SPCC5E4.04.1:pep
III,1,643347,649578,,,SPCC5E4.04,cut1,SPCC5E4.04.1,SPCC5E4.04.1:pep
